"colony_id","CALICE","MEASUREMENT","value","depth","act_depth","species","site"
"15OFA1ML","C1","CH",0.287,15,23,"OFAV","Media Luna"
"15OFA1ML","C4","CH",0.26,15,23,"OFAV","Media Luna"
"15OFA1ML","C2","A",0.121,15,23,"OFAV","Media Luna"
"15OFA1ML","C3","H",0.396,15,23,"OFAV","Media Luna"
"15OFA1ML","C1","W",0.468,15,23,"OFAV","Media Luna"
"15OFA1ML","C1","CW",0.33,15,23,"OFAV","Media Luna"
"15OFA1ML","C3","CA",0.053,15,23,"OFAV","Media Luna"
"15OFA1ML","C4","W",0.379,15,23,"OFAV","Media Luna"
"15OFA1ML","C4","CW",0.27,15,23,"OFAV","Media Luna"
"15OFA1ML","C3","A",0.139,15,23,"OFAV","Media Luna"
"15OFA1ML","C5","CH",0.259,15,23,"OFAV","Media Luna"
"15OFA1ML","C5","W",0.432,15,23,"OFAV","Media Luna"
"15OFA1ML","C5","CW",0.295,15,23,"OFAV","Media Luna"
"15OFA1ML","C5","H",0.369,15,23,"OFAV","Media Luna"
"15OFA1ML","C5","A",0.121,15,23,"OFAV","Media Luna"
"15OFA1ML","C5","CA",0.062,15,23,"OFAV","Media Luna"
"15OFA1ML","C4","A",0.117,15,23,"OFAV","Media Luna"
"15OFA1ML","C4","CA",0.053,15,23,"OFAV","Media Luna"
"15OFA1ML","C1","A",0.129,15,23,"OFAV","Media Luna"
"15OFA1ML","C1","CA",0.078,15,23,"OFAV","Media Luna"
"15OFA2ML","C5","W",0.318,15,21,"OFAV","Media Luna"
"15OFA2ML","C1","H",0.508,15,21,"OFAV","Media Luna"
"15OFA2ML","C5","H",0.367,15,21,"OFAV","Media Luna"
"15OFA2ML","C5","CH",0.246,15,21,"OFAV","Media Luna"
"15OFA2ML","C2","CW",0.255,15,21,"OFAV","Media Luna"
"15OFA2ML","C4","CW",0.212,15,21,"OFAV","Media Luna"
"15OFA2ML","C5","CA",0.039,15,21,"OFAV","Media Luna"
"15OFA2ML","C3","H",0.372,15,21,"OFAV","Media Luna"
"15OFA2ML","C5","CW",0.223,15,21,"OFAV","Media Luna"
"15OFA2ML","C5","A",0.091,15,21,"OFAV","Media Luna"
"15OFA2ML","C2","A",0.122,15,21,"OFAV","Media Luna"
"15OFA2ML","C2","CA",0.054,15,21,"OFAV","Media Luna"
"15OFA2ML","C3","A",0.113,15,21,"OFAV","Media Luna"
"15OFA2ML","C3","CA",0.048,15,21,"OFAV","Media Luna"
"15OFA2ML","C4","A",0.098,15,21,"OFAV","Media Luna"
"15OFA2ML","C1","W",0.409,15,21,"OFAV","Media Luna"
"15OFA2ML","C1","CW",0.253,15,21,"OFAV","Media Luna"
"15OFA2ML","C2","H",0.41,15,21,"OFAV","Media Luna"
"15OFA2ML","C2","CH",0.289,15,21,"OFAV","Media Luna"
"15OFA2ML","C2","W",0.383,15,21,"OFAV","Media Luna"
"15OFA2ML","C3","CW",0.253,15,21,"OFAV","Media Luna"
"15OFA2ML","C4","H",0.393,15,21,"OFAV","Media Luna"
"15OFA2ML","C1","CH",0.313,15,21,"OFAV","Media Luna"
"15OFA2ML","C4","CH",0.265,15,21,"OFAV","Media Luna"
"15OFA2ML","C4","W",0.305,15,21,"OFAV","Media Luna"
"15OFA2ML","C1","CA",0.057,15,21,"OFAV","Media Luna"
"15OFA2ML","C1","A",0.153,15,21,"OFAV","Media Luna"
"15OFA2ML","C3","CH",0.263,15,21,"OFAV","Media Luna"
"15OFA2ML","C4","CA",0.042,15,21,"OFAV","Media Luna"
"15OFA2ML","C3","W",0.372,15,21,"OFAV","Media Luna"
"15OFA3ML","C3","CW",0.228,15,22,"OFAV","Media Luna"
"15OFA3ML","C1","CA",0.068,15,22,"OFAV","Media Luna"
"15OFA3ML","C2","CH",0.324,15,22,"OFAV","Media Luna"
"15OFA3ML","C1","CH",0.287,15,22,"OFAV","Media Luna"
"15OFA3ML","C2","CW",0.302,15,22,"OFAV","Media Luna"
"15OFA3ML","C3","H",0.44,15,22,"OFAV","Media Luna"
"15OFA3ML","C3","CH",0.235,15,22,"OFAV","Media Luna"
"15OFA3ML","C1","H",0.457,15,22,"OFAV","Media Luna"
"15OFA3ML","C5","CA",0.05,15,22,"OFAV","Media Luna"
"15OFA3ML","C1","A",0.169,15,22,"OFAV","Media Luna"
"15OFA3ML","C4","W",0.323,15,22,"OFAV","Media Luna"
"15OFA3ML","C3","W",0.416,15,22,"OFAV","Media Luna"
"15OFA3ML","C5","H",0.41,15,22,"OFAV","Media Luna"
"15OFA3ML","C4","CH",0.194,15,22,"OFAV","Media Luna"
"15OFA3ML","C5","W",0.413,15,22,"OFAV","Media Luna"
"15OFA3ML","C4","H",0.362,15,22,"OFAV","Media Luna"
"15OFA3ML","C1","W",0.419,15,22,"OFAV","Media Luna"
"15OFA3ML","C5","CH",0.274,15,22,"OFAV","Media Luna"
"15OFA3ML","C2","H",0.421,15,22,"OFAV","Media Luna"
"15OFA3ML","C5","CW",0.265,15,22,"OFAV","Media Luna"
"15OFA3ML","C2","W",0.459,15,22,"OFAV","Media Luna"
"15OFA3ML","C1","CW",0.294,15,22,"OFAV","Media Luna"
"15OFA3ML","C2","CA",0.069,15,22,"OFAV","Media Luna"
"15OFA3ML","C3","A",0.138,15,22,"OFAV","Media Luna"
"15OFA3ML","C4","CW",0.188,15,22,"OFAV","Media Luna"
"15OFA3ML","C2","A",0.163,15,22,"OFAV","Media Luna"
"15OFA3ML","C4","CA",0.029,15,22,"OFAV","Media Luna"
"15OFA3ML","C5","A",0.139,15,22,"OFAV","Media Luna"
"15OFA3ML","C3","CA",0.042,15,22,"OFAV","Media Luna"
"15OFA3ML","C4","A",0.09,15,22,"OFAV","Media Luna"
"15OFA3T","C3","CW",0.235,15,15,"OFAV","Turrumote"
"15OFA3T","C3","W",0.411,15,15,"OFAV","Turrumote"
"15OFA3T","C4","H",0.411,15,15,"OFAV","Turrumote"
"15OFA3T","C1","CH",0.287,15,15,"OFAV","Turrumote"
"15OFA3T","C4","CH",0.267,15,15,"OFAV","Turrumote"
"15OFA3T","C2","CH",0.24,15,15,"OFAV","Turrumote"
"15OFA3T","C5","CW",0.201,15,15,"OFAV","Turrumote"
"15OFA3T","C3","H",0.399,15,15,"OFAV","Turrumote"
"15OFA3T","C3","CH",0.254,15,15,"OFAV","Turrumote"
"15OFA3T","C2","H",0.355,15,15,"OFAV","Turrumote"
"15OFA3T","C3","A",0.109,15,15,"OFAV","Turrumote"
"15OFA3T","C3","CA",0.041,15,15,"OFAV","Turrumote"
"15OFA3T","C4","A",0.117,15,15,"OFAV","Turrumote"
"15OFA3T","C4","CA",0.043,15,15,"OFAV","Turrumote"
"15OFA3T","C4","W",0.423,15,15,"OFAV","Turrumote"
"15OFA3T","C4","CW",0.217,15,15,"OFAV","Turrumote"
"15OFA3T","C5","H",0.381,15,15,"OFAV","Turrumote"
"15OFA3T","C5","CH",0.226,15,15,"OFAV","Turrumote"
"15OFA3T","C5","W",0.406,15,15,"OFAV","Turrumote"
"15OFA3T","C1","CA",0.058,15,15,"OFAV","Turrumote"
"15OFA3T","C1","W",0.391,15,15,"OFAV","Turrumote"
"15OFA3T","C1","CW",0.285,15,15,"OFAV","Turrumote"
"15OFA3T","C2","A",0.116,15,15,"OFAV","Turrumote"
"15OFA3T","C2","CA",0.043,15,15,"OFAV","Turrumote"
"15OFA3T","C1","A",0.125,15,15,"OFAV","Turrumote"
"15OFA3T","C2","W",0.405,15,15,"OFAV","Turrumote"
"15OFA3T","C5","A",0.118,15,15,"OFAV","Turrumote"
"15OFA3T","C5","CA",0.033,15,15,"OFAV","Turrumote"
"15OFA3T","C2","CW",0.247,15,15,"OFAV","Turrumote"
"15OFA3T","C1","H",0.432,15,15,"OFAV","Turrumote"
"15OFA4ML","C2","A",0.099,15,24,"OFAV","Media Luna"
"15OFA4ML","C5","H",0.515,15,24,"OFAV","Media Luna"
"15OFA4ML","C2","CW",0.215,15,24,"OFAV","Media Luna"
"15OFA4ML","C2","CA",0.042,15,24,"OFAV","Media Luna"
"15OFA4ML","C3","A",0.12,15,24,"OFAV","Media Luna"
"15OFA4ML","C3","CA",0.058,15,24,"OFAV","Media Luna"
"15OFA4ML","C4","CW",0.222,15,24,"OFAV","Media Luna"
"15OFA4ML","C5","CH",0.341,15,24,"OFAV","Media Luna"
"15OFA4ML","C1","H",0.415,15,24,"OFAV","Media Luna"
"15OFA4ML","C5","A",0.139,15,24,"OFAV","Media Luna"
"15OFA4ML","C3","H",0.413,15,24,"OFAV","Media Luna"
"15OFA4ML","C4","A",0.108,15,24,"OFAV","Media Luna"
"15OFA4ML","C4","CA",0.056,15,24,"OFAV","Media Luna"
"15OFA4ML","C1","CH",0.258,15,24,"OFAV","Media Luna"
"15OFA4ML","C5","CA",0.064,15,24,"OFAV","Media Luna"
"15OFA4ML","C1","A",0.136,15,24,"OFAV","Media Luna"
"15OFA4ML","C1","CA",0.048,15,24,"OFAV","Media Luna"
"15OFA4ML","C1","W",0.371,15,24,"OFAV","Media Luna"
"15OFA4ML","C4","CH",0.321,15,24,"OFAV","Media Luna"
"15OFA4ML","C4","W",0.298,15,24,"OFAV","Media Luna"
"15OFA4ML","C5","CW",0.246,15,24,"OFAV","Media Luna"
"15OFA4ML","C2","W",0.254,15,24,"OFAV","Media Luna"
"15OFA4ML","C1","CW",0.25,15,24,"OFAV","Media Luna"
"15OFA4ML","C5","W",0.328,15,24,"OFAV","Media Luna"
"15OFA4ML","C2","CH",0.259,15,24,"OFAV","Media Luna"
"15OFA4ML","C3","CW",0.248,15,24,"OFAV","Media Luna"
"15OFA4ML","C4","H",0.415,15,24,"OFAV","Media Luna"
"15OFA4ML","C2","H",0.435,15,24,"OFAV","Media Luna"
"15OFA4ML","C3","W",0.321,15,24,"OFAV","Media Luna"
"15OFA4ML","C3","CH",0.308,15,24,"OFAV","Media Luna"
"15OFA4T","C4","A",0.099,15,15,"OFAV","Turrumote"
"15OFA4T","C5","CA",0.056,15,15,"OFAV","Turrumote"
"15OFA4T","C1","A",0.143,15,15,"OFAV","Turrumote"
"15OFA4T","C1","CA",0.044,15,15,"OFAV","Turrumote"
"15OFA4T","C5","A",0.141,15,15,"OFAV","Turrumote"
"15OFA4T","C3","A",0.109,15,15,"OFAV","Turrumote"
"15OFA4T","C3","CA",0.039,15,15,"OFAV","Turrumote"
"15OFA4T","C5","CH",0.27,15,15,"OFAV","Turrumote"
"15OFA4T","C2","CA",0.052,15,15,"OFAV","Turrumote"
"15OFA4T","C1","H",0.518,15,15,"OFAV","Turrumote"
"15OFA4T","C2","CW",0.235,15,15,"OFAV","Turrumote"
"15OFA4T","C3","H",0.428,15,15,"OFAV","Turrumote"
"15OFA4T","C4","CA",0.042,15,15,"OFAV","Turrumote"
"15OFA4T","C3","W",0.343,15,15,"OFAV","Turrumote"
"15OFA4T","C3","CW",0.215,15,15,"OFAV","Turrumote"
"15OFA4T","C4","H",0.36,15,15,"OFAV","Turrumote"
"15OFA4T","C3","CH",0.228,15,15,"OFAV","Turrumote"
"15OFA4T","C2","A",0.149,15,15,"OFAV","Turrumote"
"15OFA4T","C4","CH",0.239,15,15,"OFAV","Turrumote"
"15OFA4T","C4","W",0.291,15,15,"OFAV","Turrumote"
"15OFA4T","C4","CW",0.217,15,15,"OFAV","Turrumote"
"15OFA4T","C5","W",0.342,15,15,"OFAV","Turrumote"
"15OFA4T","C5","CW",0.251,15,15,"OFAV","Turrumote"
"15OFA4T","C1","W",0.409,15,15,"OFAV","Turrumote"
"15OFA4T","C1","CW",0.229,15,15,"OFAV","Turrumote"
"15OFA4T","C2","H",0.563,15,15,"OFAV","Turrumote"
"15OFA4T","C1","CH",0.27,15,15,"OFAV","Turrumote"
"15OFA4T","C2","CH",0.281,15,15,"OFAV","Turrumote"
"15OFA4T","C2","W",0.328,15,15,"OFAV","Turrumote"
"15OFA4T","C5","H",0.491,15,15,"OFAV","Turrumote"
"15OFA5ML","C2","H",0.362,15,24,"OFAV","Media Luna"
"15OFA5ML","C3","CA",0.039,15,24,"OFAV","Media Luna"
"15OFA5ML","C3","CH",0.228,15,24,"OFAV","Media Luna"
"15OFA5ML","C3","W",0.345,15,24,"OFAV","Media Luna"
"15OFA5ML","C2","A",0.106,15,24,"OFAV","Media Luna"
"15OFA5ML","C2","CA",0.04,15,24,"OFAV","Media Luna"
