SENSOR,Date,Time,S_LightRaw,S_LightCrrx,S_Light_Int_10m
12081,2021-03-08,03:30:00,0,0,0
12081,2021-03-08,03:40:00,0,0,0
12081,2021-03-08,03:50:00,0,0,0
12081,2021-03-08,04:00:00,0,0,0
12081,2021-03-08,04:10:00,0,0,0
12081,2021-03-08,04:20:00,0,0,0
12081,2021-03-08,04:30:00,0,0,0
12081,2021-03-08,04:40:00,0,0,0
12081,2021-03-08,04:50:00,0,0,0
12081,2021-03-08,05:00:00,0,0,0
12081,2021-03-08,05:10:00,0,0,0
12081,2021-03-08,05:20:00,0,0,0
12081,2021-03-08,05:30:00,0,0,0
12081,2021-03-08,05:40:00,0,0,0
12081,2021-03-08,05:50:00,0,0,0
12081,2021-03-08,06:00:00,0,0,0
12081,2021-03-08,06:10:00,6,0.7866,0.00047196
12081,2021-03-08,06:20:00,31,4.0641,0.00243846
12081,2021-03-08,06:30:00,69,9.0459,0.00542754
12081,2021-03-08,06:40:00,119,15.6009,0.00936054
12081,2021-03-08,06:50:00,176,23.0736,0.01384416
12081,2021-03-08,07:00:00,243,31.8573,0.01911438
12081,2021-03-08,07:10:00,318,41.6898,0.02501388
12081,2021-03-08,07:20:00,404,52.9644,0.03177864
12081,2021-03-08,07:30:00,497,65.1567,0.03909402
12081,2021-03-08,07:40:00,597,78.2667,0.04696002
12081,2021-03-08,07:50:00,694,90.9834,0.05459004
12081,2021-03-08,08:00:00,799,104.7489,0.06284934
12081,2021-03-08,08:10:00,914,119.8254,0.07189524
12081,2021-03-08,08:20:00,1027,134.6397,0.08078382
12081,2021-03-08,08:30:00,993,130.1823,0.07810938
12081,2021-03-08,08:40:00,622,81.5442,0.04892652
12081,2021-03-08,08:50:00,1406,184.3266,0.11059596
12081,2021-03-08,09:00:00,1482,194.2902,0.11657412
12081,2021-03-08,09:10:00,1595,209.1045,0.1254627
12081,2021-03-08,09:20:00,1708,223.9188,0.13435128
12081,2021-03-08,09:30:00,1839,241.0929,0.14465574
12081,2021-03-08,09:40:00,1946,255.1206,0.15307236
12081,2021-03-08,09:50:00,2068,271.1148,0.16266888
12081,2021-03-08,10:00:00,2191,287.2401,0.17234406
12081,2021-03-08,10:10:00,2299,301.3989,0.18083934
12081,2021-03-08,10:20:00,2408,315.6888,0.18941328
12081,2021-03-08,10:30:00,2525,331.0275,0.1986165
12081,2021-03-08,10:40:00,2648,347.1528,0.20829168
12081,2021-03-08,10:50:00,2811,368.5221,0.22111326
12081,2021-03-08,11:00:00,1756,230.2116,0.13812696
12081,2021-03-08,11:10:00,2424,317.7864,0.19067184
12081,2021-03-08,11:20:00,1415,185.5065,0.1113039
12081,2021-03-08,11:30:00,2885,378.2235,0.2269341
12081,2021-03-08,11:40:00,3050,399.855,0.239913
12081,2021-03-08,11:50:00,3364,441.0204,0.26461224
12081,2021-03-08,12:00:00,2834,371.5374,0.22292244
12081,2021-03-08,12:10:00,3228,423.1908,0.25391448
12081,2021-03-08,12:20:00,3290,431.319,0.2587914
12081,2021-03-08,12:30:00,3313,434.3343,0.26060058
12081,2021-03-08,12:40:00,3330,436.563,0.2619378
12081,2021-03-08,12:50:00,3331,436.6941,0.26201646
12081,2021-03-08,13:00:00,3298,432.3678,0.25942068
12081,2021-03-08,13:10:00,3203,419.9133,0.25194798
12081,2021-03-08,13:20:00,3291,431.4501,0.25887006
12081,2021-03-08,13:30:00,3271,428.8281,0.25729686
12081,2021-03-08,13:40:00,3095,405.7545,0.2434527
12081,2021-03-08,13:50:00,3149,412.8339,0.24770034
12081,2021-03-08,14:00:00,3124,409.5564,0.24573384
12081,2021-03-08,14:10:00,3074,403.0014,0.24180084
12081,2021-03-08,14:20:00,2971,389.4981,0.23369886
12081,2021-03-08,14:30:00,2907,381.1077,0.22866462
12081,2021-03-08,14:40:00,2692,352.9212,0.21175272
12081,2021-03-08,14:50:00,2737,358.8207,0.21529242
12081,2021-03-08,15:00:00,2588,339.2868,0.20357208
12081,2021-03-08,15:10:00,2546,333.7806,0.20026836
12081,2021-03-08,15:20:00,2412,316.2132,0.18972792
12081,2021-03-08,15:30:00,2253,295.3683,0.17722098
12081,2021-03-08,15:40:00,2124,278.4564,0.16707384
12081,2021-03-08,15:50:00,2053,269.1483,0.16148898
12081,2021-03-08,16:00:00,1918,251.4498,0.15086988
12081,2021-03-08,16:10:00,1798,235.7178,0.14143068
12081,2021-03-08,16:20:00,1646,215.7906,0.12947436
12081,2021-03-08,16:30:00,1521,199.4031,0.11964186
12081,2021-03-08,16:40:00,1387,181.8357,0.10910142
12081,2021-03-08,16:50:00,1247,163.4817,0.09808902
12081,2021-03-08,17:00:00,1124,147.3564,0.08841384
12081,2021-03-08,17:10:00,996,130.5756,0.07834536
12081,2021-03-08,17:20:00,879,115.2369,0.06914214
12081,2021-03-08,17:30:00,756,99.1116,0.05946696
12081,2021-03-08,17:40:00,634,83.1174,0.04987044
12081,2021-03-08,17:50:00,521,68.3031,0.04098186
12081,2021-03-08,18:00:00,427,55.9797,0.03358782
12081,2021-03-08,18:10:00,334,43.7874,0.02627244
12081,2021-03-08,18:20:00,242,31.7262,0.01903572
12081,2021-03-08,18:30:00,177,23.2047,0.01392282
12081,2021-03-08,18:40:00,108,14.1588,0.00849528
12081,2021-03-08,18:50:00,60,7.866,0.0047196
12081,2021-03-08,19:00:00,21,2.7531,0.00165186
12081,2021-03-08,19:10:00,3,0.3933,0.00023598
12081,2021-03-08,19:20:00,0,0,0
12081,2021-03-08,19:30:00,0,0,0
12081,2021-03-08,19:40:00,0,0,0
12081,2021-03-08,19:50:00,0,0,0
12081,2021-03-08,20:00:00,0,0,0
12081,2021-03-08,20:10:00,0,0,0
12081,2021-03-08,20:20:00,0,0,0
12081,2021-03-08,20:30:00,0,0,0
12081,2021-03-08,20:40:00,0,0,0
12081,2021-03-08,20:50:00,0,0,0
12081,2021-03-08,21:00:00,0,0,0
12081,2021-03-08,21:10:00,0,0,0
12081,2021-03-08,21:20:00,0,0,0
12081,2021-03-08,21:30:00,0,0,0
12081,2021-03-08,21:40:00,0,0,0
12081,2021-03-08,21:50:00,0,0,0
12081,2021-03-08,22:00:00,0,0,0
12081,2021-03-08,22:10:00,0,0,0
12081,2021-03-08,22:20:00,0,0,0
12081,2021-03-08,22:30:00,0,0,0
12081,2021-03-08,22:40:00,0,0,0
12081,2021-03-08,22:50:00,0,0,0
12081,2021-03-08,23:00:00,0,0,0
12081,2021-03-08,23:10:00,0,0,0
12081,2021-03-08,23:20:00,0,0,0
12081,2021-03-08,23:30:00,0,0,0
12081,2021-03-08,23:40:00,0,0,0
12081,2021-03-08,23:50:00,0,0,0
12081,2021-03-08,24:00:00,0,0,0
12081,2021-04-08,00:10:00,0,0,0
12081,2021-04-08,00:20:00,0,0,0
12081,2021-04-08,00:30:00,0,0,0
12081,2021-04-08,00:40:00,0,0,0
12081,2021-04-08,00:50:00,0,0,0
12081,2021-04-08,01:00:00,0,0,0
12081,2021-04-08,01:10:00,0,0,0
12081,2021-04-08,01:20:00,0,0,0
12081,2021-04-08,01:30:00,0,0,0
12081,2021-04-08,01:40:00,0,0,0
12081,2021-04-08,01:50:00,0,0,0
12081,2021-04-08,02:00:00,0,0,0
12081,2021-04-08,02:10:00,0,0,0
12081,2021-04-08,02:20:00,0,0,0
12081,2021-04-08,02:30:00,0,0,0
12081,2021-04-08,02:40:00,0,0,0
12081,2021-04-08,02:50:00,0,0,0
12081,2021-04-08,03:00:00,0,0,0
12081,2021-04-08,03:10:00,0,0,0
12081,2021-04-08,03:20:00,0,0,0
12081,2021-04-08,03:30:00,0,0,0
12081,2021-04-08,03:40:00,0,0,0
12081,2021-04-08,03:50:00,0,0,0
12081,2021-04-08,04:00:00,0,0,0
12081,2021-04-08,04:10:00,0,0,0
12081,2021-04-08,04:20:00,0,0,0
12081,2021-04-08,04:30:00,0,0,0
12081,2021-04-08,04:40:00,0,0,0
12081,2021-04-08,04:50:00,0,0,0
12081,2021-04-08,05:00:00,0,0,0
12081,2021-04-08,05:10:00,0,0,0
12081,2021-04-08,05:20:00,0,0,0
12081,2021-04-08,05:30:00,0,0,0
12081,2021-04-08,05:40:00,0,0,0
12081,2021-04-08,05:50:00,0,0,0
12081,2021-04-08,06:00:00,0,0,0
12081,2021-04-08,06:10:00,4,0.5244,0.00031464
12081,2021-04-08,06:20:00,26,3.4086,0.00204516
12081,2021-04-08,06:30:00,60,7.866,0.0047196
12081,2021-04-08,06:40:00,103,13.5033,0.00810198
12081,2021-04-08,06:50:00,151,19.7961,0.01187766
12081,2021-04-08,07:00:00,214,28.0554,0.01683324
