,colony_id,species,treatment,recovered,airbrush_volume,surface_area,A,CA,D,di,Cdi,chla.ug.cm2,chlc2.ug.cm2,sym.cm2,prot_mg.cm2,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,chla.sym,full_treatment
54,OFAV_PS_365_P1,OFAV,PS,P1,19,4.824512535,0.1368,0.0522,8.188,0.4229,0.2494,6.430394043,2.016763337,NA,1.674666675,5.513510392,7.482621247,NA,OFAV_PS
55,OFAV_PS_365_P2,OFAV,PS,P2,13,4.311977716,0.1186,0.0512,10,0.4143,0.2298,3.593936709,1.087760723,NA,0.820252747,4.29617248,5.125258398,NA,OFAV_PS
56,OFAV_PS_367,OFAV,PS,p,26,6.671309192,0.1456,0.0496,6.901,0.4501,0.245,3.542600508,1.31991334,127.47373,1.239639345,5.553632568,4.287014614,0.027790828,OFAV_PS
57,OFAV_PS_368,OFAV,PS,p,13,5.966573816,0.1104,0.047,9.04,0.387,0.2271,4.668960924,1.15335035,172.3071506,1.238646198,4.902310924,5.229131653,0.027096733,OFAV_PS
58,OFAV_PS_369,OFAV,PS,p,25,NA,0.10987514,0.04664778,7.893,0.4329,0.2506,4.248589291,1.577540668,105.8694825,1.01906898,3.393799943,7.427939498,0.040130444,OFAV_PS
59,OFAV_PS_370,OFAV,PS,p,17,5.080779944,0.0672,0.03,NA,0.3117,0.1813,6.539757091,1.671465817,219.4380939,1.615719599,5.269860198,13.71836623,0.029802287,OFAV_PS
60,OFAV_PS_371,OFAV,PS,p,25,8.080779944,0.1232,0.0462,8.399,0.4016,0.2246,5.261120663,1.379121208,149.1880195,1.44169358,5.414081351,10.51878663,0.035265035,OFAV_PS
61,OFAV_PS_9AZ5,OFAV,PS,p,15,3.266852368,0.116,0.045333333,9.56,0.401166667,0.235416667,6.008115087,1.075347033,66.38653221,0.9096313,3.214103001,13.77472715,0.090502017,OFAV_PS
62,OFAV_PS_9AZ9,OFAV,PS,p,27.5,5.069637883,0.1352,0.0608,9.892,0.4453,0.2692,6.417577038,1.85109375,216.978022,2.091846397,9.08595467,4.33956044,0.029577083,OFAV_PS
63,OFAV_PS_9EV35,OFAV,PS,p,35,4.73816156,0.1568,0.0616,5.622,0.4648,0.2701,4.709597394,1.648925411,124.6527778,1.192376712,4.801440329,0,0.037781728,OFAV_PS
64,OFAV_PS_9EV4,OFAV,PS,p,55,6.04735376,0.1092,0.0556,7.914,0.3941,0.2524,5.466633503,1.524303086,180.0029749,1.653471395,13.8697029,6.366421005,0.030369684,OFAV_PS
65,OFAV_PS_9EV40,OFAV,PS,p,19.5,4.501392758,0.136,0.0558,7.743,0.4716,0.2656,3.412888149,1.148519531,116.4223004,0.843068595,7.147787747,11.69637995,0.029314729,OFAV_PS
66,OFAV_PS_9EV5,OFAV,PS,p,16.5,4.880222841,0.1534,0.0716,7.395,0.4506,0.2879,3.493749272,0.935774379,104.669913,1.093139148,5.578638699,2.704794521,0.033378735,OFAV_PS
67,OFAV_PS_9GT35,OFAV,PS,p,13,6.473537604,0.1364,0.0738,6.888,0.4257,0.2738,3.739122483,0.837258595,129.8620195,1.148660828,4.267373064,5.823709123,0.028793041,OFAV_PS
68,OFAV_PS_9GT4,OFAV,PS,p,34,4.3454039,0.0818,0.039,10.978,0.3238,0.2085,3.158758921,0.925230449,97.15245728,0.921249923,5.86826923,17.99602564,0.032513423,OFAV_PS
69,OFAV_PS_9GT46,OFAV,PS,p,15,6.632311978,0.1036,0.0442,9.135,0.3778,0.2315,4.373776459,1.296663219,122.1293574,0.980172798,3.166316674,7.46346073,0.035812654,OFAV_PS
70,OFAV_PS_9IR44,OFAV,PS,p,25.2,7.470752089,0.1376,0.0516,7.326,0.4283,0.2343,5.896892237,1.452648926,114.265604,0.870588094,5.565704698,14.16724832,0.051606888,OFAV_PS
71,OFAV_PS_9JQ4,OFAV,PS,p,19,5.442896936,0.1504,0.0606,7.709,0.4548,0.2639,3.326313826,1.681076292,116.7959527,1.14083559,4.014406346,11.17052201,0.028479701,OFAV_PS
72,OFAV_PS_9JQ42,OFAV,PS,p,15,5.671309192,0.105,0.0486,8.095,0.3763,0.2427,5.239464821,1.536087119,158.4731091,1.371148791,4.430194008,10.31507859,0.03306217,OFAV_PS
73,OFAV_PS_9JQ431,OFAV,PS,p,23,6.621169916,0.1108,0.0456,8.065,0.3888,0.2174,6.561570772,1.652007899,231.9663909,1.732035955,6.513199411,7.294783341,0.02828673,OFAV_PS
74,OFAV_PS_9JQ53,OFAV,PS,p,15,4.662952646,0.1074,0.052,6.797,0.3899,0.2446,4.7791875,2.374273522,166.02499,1.274242764,3.136424731,7.720430108,0.028785953,OFAV_PS
75,OFAV_PS_AZ,OFAV,PS,p,14,3.95264624,0.1084,0.053,8.351,0.4168,0.2516,3.991756166,1.113051797,103.6014799,1.242121463,4.073220577,7.438054967,0.038529915,OFAV_PS
76,OFAV_PS_CX,OFAV,PS,p,24.8,4.17270195,0.1218,0.05,9.2,0.4133,0.2378,3.855428335,0.906218571,170.1295728,1.558177553,10.9952737,4.75471295,0.022661718,OFAV_PS
77,OFAV_PS_DW,OFAV,PS,p,17,3.972144847,0.106,0.0416,9.186,0.3739,0.2201,3.412537102,1.121736536,60.80887679,0.640993819,5.242759467,8.987587657,0.056119062,OFAV_PS
78,OFAV_PS_EV,OFAV,PS,p,19,5.899721448,0.1268,0.0566,8.439,0.3919,0.2425,4.017965121,1.321609006,109.3625079,1.395720403,4.34766289,9.017374883,0.036739877,OFAV_PS
79,OFAV_SP_0AZ24,OFAV,SP,p,36,3.788300836,0.1448,0.061,8.446,0.4433,0.2674,10.12617573,4.875008823,NA,0.714887572,5.939338235,10.45323529,NA,OFAV_SP
80,OFAV_SP_0AZ4,OFAV,SP,p,27.3,5.21448468,0.1066,0.0516,9.745,0.3621,0.2429,5.16107375,-0.583356302,138.7385417,1.381714926,8.638437499,11.51791667,0.0372,OFAV_SP
81,OFAV_SP_0EV3_P1,OFAV,SP,P1,27,4.704735376,0.0998,0.0366,10.877,0.3658,0.2021,7.126755773,1.46557127,NA,1.250560144,3.873756661,1.721669627,NA,OFAV_SP
82,OFAV_SP_0EV3_P2,OFAV,SP,P2,10.5,3.559888579,0.1156,0.0412,8.85,0.383,0.2122,5.824290435,1.322422007,NA,0.642730507,2.433362676,7.373826292,NA,OFAV_SP
83,OFAV_SP_2AZ21_P1,OFAV,SP,P1,13,NA,0.094,0.0372,9.858,0.3379,0.2027,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
84,OFAV_SP_2AZ21_P2,OFAV,SP,P2,20,3.782729805,0.1166,0.048,9.938,0.3749,0.2224,5.088829406,0.397728645,NA,0.564016901,4.494108984,9.516936672,NA,OFAV_SP
85,OFAV_SP_2AZ7_P1,OFAV,SP,P1,13,5.161559889,NA,NA,NA,NA,NA,6.828667255,0.201426511,NA,0.435888994,3.022342148,9.570750134,NA,OFAV_SP
86,OFAV_SP_2AZ7_P2,OFAV,SP,P2,55.5,NA,0.116,0.0424,11.429,0.3861,0.2139,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
87,OFAV_SP_2AZ7_P3,OFAV,SP,P3,21,NA,0.0836,0.0384,13.529,0.3247,0.2113,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
88,OFAV_SP_2AZ7_P4,OFAV,SP,P4,12.5,NA,0.0866,0.0394,10.223,0.3216,0.2101,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
89,OFAV_SP_2JQ31_P1,OFAV,SP,P1,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
90,OFAV_SP_2JQ31_P2,OFAV,SP,P2,7,NA,0.127,0.055,8.613,0.4056,0.266,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
91,OFAV_SP_2JQ31_P3,OFAV,SP,P3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
