bag_number,date_collected,depth,act_depth,species,colony_number,site,colony_id,RI_status,NOTES,airbrush_date,airbrush_volume,airbrush_initials,aliquot_date,aliquot_initials,chl_box,host_PTAC_box,sym_PTAC_box,sym_density_box,ash_bag,skeleton_dry_date,skeleton_dry_initials,,,,,,
14,8/10/21,45,44,MCAV,3,Turrumote,45MC3T,Y,,6/6/23,19.5,HLE,6/6/23,HLE,,,,,MCAV,,,,,,,,
16,8/10/21,45,46,MCAV,4,Turrumote,45MC4T,Y,,6/5/23,25.0,HLE,6/5/23,HLE,,,,,MCAV,,,,,,,,
20,8/10/21,45,46,MCAV,5,Turrumote,45MC5T,Y,,6/2/23,25.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
56,8/12/21,55,54,MCAV,1,Turrumote,55MC1T,Y,,6/5/23,17.0,HLE,6/5/23,HLE,,,,,MCAV,,,,,,,,
60,8/12/21,55,57,MCAV,2,Turrumote,55MC2T,Y,,6/2/23,24.5,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
61,8/12/21,55,54,MCAV,3,Turrumote,55MC3T,Y,,6/5/23,17.5,HLE,6/5/23,HLE,,,,,MCAV,,,,,,,,
73,8/12/21,55,55,MCAV,4,Turrumote,55MC4T,Y,,6/2/23,20.0,HLE,6/2/23,HLE,,,,,MCAV,,,,,,,,
77,8/12/21,55,54,MCAV,5,Turrumote,55MC5T,Y,,6/5/23,22.0,HLE,6/5/23,HLE,,,,,MCAV,,,,,,,,
140,18-Aug,15,23,OFAV,1,Media Luna,15OFA1ML,Y,,7/18/22,22.0,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
144,18-Aug,15,21,OFAV,2,Media Luna,15OFA2ML,Y,,7/18/22,26.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
145,18-Aug,15,22,OFAV,3,Media Luna,15OFA3ML,Y,,7/18/22,13.5,HLE,7/18/22,HLE,13,14,15,16,L,7/19/22,HLE,,,,,,
148,18-Aug,15,24,OFAV,4,Media Luna,15OFA4ML,Y,,7/18/22,9.0,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
150,18-Aug,15,24,OFAV,5,Media Luna,15OFA5ML,Y,,7/18/22,18.0,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
156,18-Aug,15,20,OFAV,6,Media Luna,15OFA6ML,Y,,7/18/22,16.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
328,8/23/21,30,31,OFAV,1,Media Luna,30OFA1ML,Y,,7/18/22,17.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
329,8/23/21,30,32,OFAV,2,Media Luna,30OFA2ML,Y,,7/18/22,16.5,HLE,7/18/22,HLE,13,14,15,16,L,7/19/22,HLE,,,,,,
330,8/23/21,30,30,OFAV,3,Media Luna,30OFA3ML,Y,,7/18/22,10.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
331,8/23/21,30,31,OFAV,4,Media Luna,30OFA4ML,Y,,7/18/22,14.5,HLE,7/18/22,HLE,13,14,15,16,L,7/19/22,HLE,,,,,,
333,8/23/21,30,32,OFAV,5,Media Luna,30OFA5ML,Y,,7/18/22,17.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
338,8/23/21,45,45,OFAV,1,Media Luna,45OFA1ML,Y,,7/18/22,19.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
343,8/23/21,45,46,OFAV,2,Media Luna,45OFA2ML,Y,,6/8/22,27.5,TL,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
350,8/23/21,45,47,OFAV,3,Media Luna,45OFA3ML,Y,,6/8/22,40.5,TL,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
363,8/24/21,45,40,OFAV,4,Media Luna,45OFA4ML,Y,,7/18/22,23.0,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
366,8/24/21,45,44,OFAV,5,Media Luna,45OFA5ML,Y,,6/8/22,38.5,TL,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
161,18-Aug,55,54,OFAV,1,Media Luna,55OFA1ML,Y,,6/8/22,28.0,TL,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
180,8/19/21,55,59,OFAV,2,Media Luna,55OFA2ML,Y,,7/18/22,23.0,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
182,8/19/21,55,63,OFAV,3,Media Luna,55OFA3ML,Y,,7/18/22,17.0,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
190,8/19/21,55,62,OFAV,4,Media Luna,55OFA4ML,Y,,7/18/22,26.5,HLE,7/18/22,TL,13,14,15,16,L,7/19/22,HLE,,,,,,
195,8/19/21,55,62,OFAV,5,Media Luna,55OFA5ML,Y,,7/18/22,14.5,HLE,7/18/22,HLE,13,14,15,16,L,7/19/22,HLE,,,,,,
2,8/6/21,15,15,OFAV,2,Turrumote,15OF2AT,Y,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2,8/6/21,15,15,OFAV,2,Turrumote,15OF2BT,Y,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
1,8/6/21,15,15,OFAV,1,Turrumote,15OFA1AT,Y,,7/19/22,19.5,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
1,8/6/21,15,15,OFAV,1,Turrumote,15OFA1BT,Y,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
72,8/12/21,15,15,OFAV,3,Turrumote,15OFA3T,Y,,7/19/22,22.0,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
259,8/20/21,15,15,OFAV,4,Turrumote,15OFA4T,Y,,7/25/22,15.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
264,8/20/21,15,15,OFAV,5,Turrumote,15OFA5T,Y,,7/20/22,17.5,HLE,7/20/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
91/PAN 81,8/12/21,30,30,OFAV,1,Turrumote,30OFA1T,Y,,7/19/22,25.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
97/ PAN 87,8/12/21,30,30,OFAV,2,Turrumote,30OFA2T,Y,,7/19/22,28.0,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
108,8/17/21,30,30,OFAV,3,Turrumote,30OFA3T,Y,,7/19/22,37.0,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
117,8/17/21,30,30,OFAV,4,Turrumote,30OFA4T,Y,,7/19/22,17.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
119,8/17/21,30,28,OFAV,5,Turrumote,30OFA5T,Y,,7/19/22,25.5,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
24,8/10/21,45,46,OFAV,1,Turrumote,45OFA1T,Y,,7/25/22,19.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
29,8/10/21,45,47,OFAV,2,Turrumote,45OFA2T,Y,,7/19/22,20.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
48,8/12/21,45,45,OFAV,3,Turrumote,45OFA3T,Y,,7/19/22,30.5,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
52,8/12/21,45,44,OFAV,4,Turrumote,45OFA4T,Y,,7/25/22,20.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
53,8/12/21,45,45,OFAV,5,Turrumote,45OFA5T,Y,,7/19/22,22.0,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
54,8/12/21,45,45,OFAV,6,Turrumote,45OFA6T,Y,,7/19/22,35.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
75,8/12/21,55,54,OFAV,1,Turrumote,55OFA1T,Y,,7/20/22,26.5,HLE,7/20/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
85,8/12/21,55,55,OFAV,2,Turrumote,55OFA2T,Y,,7/25/22,23.5,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
103,8/17/21,55,55,OFAV,3,Turrumote,55OFA3T,Y,,7/20/22,30.5,HLE,7/20/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
105,8/17/21,55,53,OFAV,4,Turrumote,55OFA4T,Y,,7/19/22,17.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
106,8/17/21,55,53,OFAV,5,Turrumote,55OFA5T,Y,,7/25/22,20.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
307,8/23/21,15,25,OFRA,1,Media Luna,15OFR1ML,Y,,8/16/22,19.5,HLE,8/16/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
308,8/23/21,15,25,OFRA,2,Media Luna,15OFR2ML,Y,,8/16/22,21.0,HLE,8/16/22,HLE,13,14,15,16,O,11/1/22,HLE,,,,,,
310,8/23/21,15,25,OFRA,3,Media Luna,15OFR3ML,Y,,8/15/22,23.5,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
