"colony_id","A","CA","CH","CW","H","W","D","CA.A"
"OFRA_PS_0GT3",0.0984,0.0392,0.1834,0.176,0.3522,0.3694,10.605,0.398373983739837
"OFRA_PS_0GT5_P1",0.1292,0.048,0.2312,0.183,0.3956,0.43,7.223,0.371517027863777
"OFRA_PS_0GT5_P2",0.1088,0.0198,0.2314,0.2096,0.4488,0.3546,6.141,0.181985294117647
"OFRA_PS_1GT37",0.13575,0.05425,0.253,0.238,0.39875,0.421,7.112,0.39963167587477
"OFRA_PS_1GT42",0.131333333333333,0.0516666666666667,0.226333333333333,0.218,0.419333333333333,0.405,5.013,0.393401015228426
"OFRA_PS_1GT43",0.1228,0.0444,0.2346,0.2202,0.4228,0.3818,5.985,0.361563517915309
"OFRA_PS_2CX10",0.1608,0.071,0.2886,0.2568,0.4672,0.4758,5.105,0.441542288557214
"OFRA_PS_2CX12",0.1084,0.058,0.2454,0.2306,0.428,0.3666,6.942,0.535055350553506
"OFRA_PS_2CX13",0.1236,0.0584,0.2622,0.242,0.4402,0.4002,6.283,0.472491909385113
"OFRA_PS_2CX8",0.1344,0.0406,0.2048,0.2274,0.3856,0.4574,7.005,0.302083333333333
"OFRA_PS_2GT10",0.133,0.0608,0.2342,0.2702,0.4078,0.4504,8.954,0.457142857142857
"OFRA_PS_2GT3",0.1366,0.056,0.2644,0.2068,0.4618,0.3844,5.873,0.4099560761347
"OFRA_PS_2GT31",0.1352,0.0546,0.2402,0.2256,0.4126,0.435,NA,0.403846153846154
"OFRA_PS_2GT38",0.1122,0.0564,0.213,0.2038,0.3924,0.3944,7.692,0.502673796791444
"OFRA_PS_2GT41",0.1054,0.05,0.2452,0.2498,0.3436,0.4392,13.141,0.47438330170778
"OFRA_PS_2GT7",0.1172,0.0428,0.1942,0.218,0.3524,0.4298,9.938,0.36518771331058
"OFRA_PS_2HS11",0.1616,0.0512,0.1966,0.2476,0.442,0.50925,5.998,0.316831683168317
"OFRA_PS_2HS17",0.142666666666667,0.039,0.187666666666667,0.238666666666667,0.414666666666667,0.453333333333333,7.68,0.273364485981308
"OFRA_PS_2HS27",0.1164,0.0506,0.2406,0.244,0.3716,0.4046,6.091,0.434707903780069
"OFRA_PS_2HS9",0.14575,0.06225,0.27425,0.234,0.47,0.43225,4.95,0.427101200686106
"OFRA_PS_4CX12",0.1745,0.0638,0.28,0.2244,0.5148,0.4864,6.531,0.365616045845272
"OFRA_PS_4HS13",0.0938,0.0314,0.1814,0.194,0.3462,0.3578,12.212,0.334754797441365
"OFRA_PS_4HS15",0.1064,0.0436,0.204,0.2118,0.389,0.4024,11.64,0.409774436090226
"OFRA_PS_6CX18",0.1208,0.0598,0.2482,0.2428,0.3978,0.4114,9.314,0.495033112582781
"OFRA_PS_6EV18",0.1208,0.0574,0.2696,0.2328,0.4338,0.3872,9.709,0.475165562913907
"OFRA_PS_6GT17",0.147333333333333,0.042,0.251333333333333,0.164,0.459666666666667,0.388,8,0.285067873303167
"OFRA_PS_8CX24",0.1168,0.0575,0.2502,0.2326,0.3738,0.4364,8.78,0.492294520547945
"OFRA_PS_8HS23",0.1405,0.0535,0.277,0.176,0.50375,0.39125,7.692,0.380782918149466
"OFRA_PS_8HS24",0.147,0.066,0.2544,0.2458,0.5002,0.4638,5.78,0.448979591836735
"OFRA_PS_9CX5",0.1144,0.04,0.218,0.2052,0.3784,0.3914,9.574,0.34965034965035
"OFRA_PS_9CX6",0.1768,0.0632,0.2506,0.265,0.4878,0.5208,5.217,0.357466063348416
"OFRA_PS_9GT30",0.1612,0.0622,0.2824,0.2608,0.4572,0.414,6.482,0.385856079404466
"OFRA_PS_9GT47",0.1458,0.0768,0.3132,0.2872,0.4588,0.426,9.836,0.526748971193416
"OFAV_PP_91R44",NA,NA,NA,NA,NA,NA,6.515,NA
"OFAV_SP_0EV35",NA,NA,NA,NA,NA,NA,8.811,NA
"OFAV_SP_2JQ31",NA,NA,NA,NA,NA,NA,8.715,NA
"OFAV_SP_2JQ31_P4",NA,NA,NA,NA,NA,NA,7.377,NA
"OFAV_SS_2AZ7_P1",NA,NA,NA,NA,NA,NA,10.036,NA
