"Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"30OFA4T",0.146,157.708,0,233,0,0,"C4","A"
"30OFA4T",0.058,145.745,0,233,0,0,"C4","CA"
"30OFA4T",0.000471,152.652,86.167,236.449,-90.62,0.466,"C5","H"
"30OFA4T",0.0002645,157.887,106.185,230.943,-90.664,0.261,"C5","CH"
"30OFA4T",0.0003154,155.307,2.93,205.867,0.371,0.312,"C5","W"
"30OFA4T",0.0002432,139.975,2.333,210.036,0.481,0.24,"C5","CW"
"30OFA4T",0.124,158.937,0,239,0,0,"C5","A"
"30OFA4T",0.000467,148.052,86.86,201.758,-0.751,0.462,"C1","W"
"30OFA4T",0.047,146.056,0,239,0,0,"C5","CA"
"30OFA4T",0.0002961,143.458,90.975,193.076,-0.395,0.293,"C1","CW"
"30OFA4T",0.148,153.48,0,243,0,0,"C1","A"
"30OFA4T",0.061,148.962,0,243,0,0,"C1","CA"
"30OFA4T",0.0004914,141.877,0.29,229.661,-88.693,0.486,"C2","H"
"30OFA4T",0.0003052,128.56,0.333,191.333,-90,0.302,"C2","CH"
"30OFA4T",0.0003571,159.185,0.076,218.381,1.637,0.353,"C2","W"
"30OFA5T",0.0004111,139.244,1.409,199.404,-90.488,0.439,"C1","H"
"30OFA5T",0.0001982,121.297,0.009,157.619,0.507,0.211,"C2","CW"
"30OFA5T",0.089,140.328,0,199,0,0,"C2","A"
"30OFA5T",0.032,124.787,0,178,0,0,"C2","CA"
"30OFA5T",0.0004077,140.762,1.137,216.398,-90.123,0.435,"C3","H"
"30OFA5T",0.0002331,112.063,0.954,184.466,-89.354,0.249,"C3","CH"
"30OFA5T",0.0003177,150.881,0.383,200,0.631,0.339,"C3","W"
"30OFA5T",0.0002078,134.596,0.43,201.03,0.725,0.221,"C3","CW"
"30OFA5T",0.115,164.528,0,224,0,0,"C3","A"
"30OFA5T",0.039,144.594,0,214,0,0,"C3","CA"
"30OFA5T",0.0003143,144.628,0.595,189.111,-87.607,0.336,"C4","H"
"30OFA5T",0.0002523,134.734,1.875,197.935,-90.398,0.269,"C1","CH"
"30OFA5T",0.0001746,88.184,0.08,179.965,-87.123,0.186,"C4","CH"
"30OFA5T",0.0003134,147.623,0.333,196.229,-0.32,0.334,"C4","W"
"30OFA5T",0.0001676,142.322,1.45,211.333,0.3,0.178,"C4","CW"
"30OFA5T",0.076,157.996,0,219,0,0,"C4","A"
"30OFA5T",0.024,144.712,0,219,0,0,"C4","CA"
"30OFA5T",0.0003308,157.888,0,211.556,-88.939,0.353,"C5","H"
"30OFA5T",0.0002078,131.51,0.321,214.032,-89.517,0.221,"C5","CH"
"30OFA5T",0.0003064,158.261,91.373,211.438,0.164,0.327,"C5","W"
"30OFA5T",0.000199,141.12,86.599,180.843,0.757,0.212,"C5","CW"
"30OFA5T",0.085,160.354,0,223,0,0,"C5","A"
"30OFA5T",0.0003823,165.511,0.667,191.425,0.656,0.408,"C1","W"
"30OFA5T",0.034,146.011,0,223,0,0,"C5","CA"
"30OFA5T",0.00022,147.15,0.667,194,1.369,0.235,"C1","CW"
"30OFA5T",0.133,170.188,0,229,0,0,"C1","A"
"30OFA5T",0.05,149.748,0,216,0,0,"C1","CA"
