pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW(g/ml)
263,OFRA_PP_0CX4,SYM,1,0.9567,0.9726,0.0159,0.9715,0.001100
264,OFRA_PP_8CX24,SYM,1,0.9543,0.9709,0.0166,0.9689,0.002000
265,OFRA_PP_4HS15,SYM,1,0.9693,0.9804,0.0111,0.9800,0.000400
266,OFRA_PS_6GT17,SYM,1,0.9581,0.9695,0.0114,0.9682,0.001300
267,OFRA_PS_1GT37,SYM,1,0.9687,0.9872,0.0185,0.9842,0.003000
268,OFRA_PS_2CX12,SYM,1,0.9777,0.9919,0.0142,0.9904,0.001500
269,OFRA_PS_9CX5,SYM,1,0.9529,0.9680,0.0151,0.9666,0.001400
270,OFRA_PS_6CX18,SYM,1,0.9675,0.9819,0.0144,0.9805,0.001400
271,OFRA_PS_2HS27,SYM,1,0.9783,0.9944,0.0161,0.9923,0.002100
272,OFRA_PS_0GT5_P2,SYM,1,0.9634,0.9788,0.0154,0.9770,0.001800
273,OFRA_PS_0GT5_P1,SYM,1,0.9660,0.9805,0.0145,0.9792,0.001300
274,OFRA_PS_2HS11,SYM,1,0.9575,0.9686,0.0111,0.9670,0.001600
275,OFRA_PS_2HS9,SYM,1,0.9596,0.9770,0.0174,0.9752,0.001800
276,OFRA_PS_8HS24,SYM,1,0.9537,0.9672,0.0135,0.9661,0.001100
277,OFRA_PS_2GT41,SYM,1,0.9637,0.9752,0.0115,0.9742,0.001000
278,OFRA_PS_2HS17,SYM,1,0.9466,0.9595,0.0129,0.9583,0.001200
279,OFRA_PS_6EV18,SYM,1,0.9511,0.9639,0.0128,0.9623,0.001600
280,OFRA_PS_2GT7,SYM,1,0.9583,0.9700,0.0117,0.9691,0.000900
281,OFRA_PS_0GT1,HOST,4,0.9580,1.0082,0.0502,1.0000,0.002050
282,OFRA_PS_2GT3,HOST,4,0.9462,0.9950,0.0488,0.9884,0.001650
283,OFRA_PS_8HS23,HOST,4,0.9596,1.0081,0.0485,1.0029,0.001300
284,OFRA_PS_9GT47,HOST,4,0.9685,1.0188,0.0503,1.0105,0.002075
285,OFRA_PS_2CX10,HOST,4,0.9455,0.9912,0.0457,0.9856,0.001400
286,OFAV_SS_2JQ6,HOST,4,0.9512,0.9971,0.0459,0.9903,0.001700
287,OFAV_SS_0AZ4,HOST,4,0.9656,1.0125,0.0469,1.0079,0.001150
288,OFAV_SS_2EV36,HOST,4,0.9518,1.0042,0.0524,0.9965,0.001925
289,OFAV_SS_6JQ16,HOST,4,0.9725,1.0222,0.0497,1.0141,0.002025
290,OFAV_SS_2AZ2,HOST,4,0.9477,0.9949,0.0472,0.9876,0.001825
291,OFAV_SS_2JQ31,HOST,4,0.9628,1.0073,0.0445,1.0012,0.001525
292,OFAV_SS_9EV41,HOST,4,0.9623,1.0078,0.0455,1.0022,0.001400
293,OFAV_SS_2AZ7_P2,HOST,4,0.9610,1.0054,0.0444,0.9987,0.001675
294,OFAV_SS_8EV24,HOST,4,0.9681,1.0126,0.0445,1.0680,-0.013850
295,OFAV_SS_2EV44,HOST,4,0.9489,0.9970,0.0481,0.9901,0.001725
296,OFAV_SS_3JQ1_P1,HOST,4,0.9497,0.9971,0.0474,0.9921,0.001250
297,OFAV_SS_4EV15,HOST,4,0.9479,0.9934,0.0455,0.9878,0.001400
298,OFAV_SS_1AZ5,HOST,4,0.9601,1.0066,0.0465,1.0024,0.001050
299,OFAV_SS_9JQ5,HOST,4,0.9452,0.9905,0.0453,0.9833,0.001800
300,OFRA_PP_1GT37_P2,HOST,4,0.9626,1.0122,0.0496,1.0055,0.001675
301,OFRA_PS_0GT1,SYM,1,0.9592,0.9759,0.0167,0.9742,0.001700
302,OFRA_PS_2GT3,SYM,1,0.9491,0.9627,0.0136,0.9611,0.001600
303,OFRA_PS_8HS23,SYM,1,0.9413,0.9577,0.0164,0.9558,0.001900
304,OFRA_PS_9GT47,SYM,1,0.9608,0.9724,0.0116,0.9714,0.001000
305,OFRA_PS_2CX10,SYM,1,0.9690,0.9829,0.0139,0.9815,0.001400
306,OFAV_SS_2JQ6,SYM,1,0.9722,0.9863,0.0141,0.9830,0.003300
307,OFAV_SS_0AZ4,SYM,1,0.9611,0.9754,0.0143,0.9732,0.002200
308,OFAV_SS_2EV36,SYM,1,0.9704,0.9874,0.0170,0.9847,0.002700
309,OFAV_SS_6JQ16,SYM,1,0.9798,0.9952,0.0154,0.9929,0.002300
310,OFAV_SS_2AZ2,SYM,1,0.9725,0.9913,0.0188,0.9882,0.003100
311,OFAV_SS_2JQ31,SYM,1,0.9651,0.9859,0.0208,0.9825,0.003400
312,OFAV_SS_9EV41,SYM,1,0.9567,0.9703,0.0136,0.9681,0.002200
313,OFAV_SS_2AZ7_P2,SYM,1,0.9722,0.9878,0.0156,0.9857,0.002100
314,OFAV_SS_8EV24,SYM,1,0.9743,0.9876,0.0133,0.9853,0.002300
315,OFAV_SS_2EV44,SYM,1,0.9556,0.9698,0.0142,0.9686,0.001200
